NOC2L
OR4F3
OR4F5
SAMD11
AGRN
HES4
ISG15
KLHL17
PLEKHN1
ACAP3
B3GALT6
C1orf159
PUSL1
RNF223
SCNN1D
SDF4
TNFRSF18
TNFRSF4
TTLL10
UBE2J2
AURKAIP1
CCNL2
DVL1
MXRA8
TAS1R3
ANKRD65
ATAD3B
ATAD3C
MRPL20
TMEM88B
VWA1
ATAD3A
SSU72
TMEM240
CDK11A
CDK11B
MIB2
MMP23B
SLC35E2B
NADK
CALML6
GNB1
TMEM52
GABRD
PRKCZ
SKI
MORN1
PEX10
RER1
PLCH2
HES5
MMEL1
PANK4
TNFRSF14
ACTRT2
ARHGEF16
CCDC27
CEP104
LRRC47
MEGF6
PRDM16
TP73
TPRG1L
TTC34
WRAP73
C1orf174
DFFB
AJAP1
NPHP4
CHD5
KCNAB2
RPL22
ICMT
RNF207
ACOT7
GPR153
HES3
ESPN
HES2
PLEKHG5
TNFRSF25
NOL9
TAS1R1
CAMTA1
DNAJC11
KLHL21
PHF13
THAP3
ZBTB48
PER3
VAMP3
CA6
ENO1
ERRFI1
GPR157
H6PD
PARK7
RERE
SLC2A5
SLC2A7
SLC45A1
SPSB1
TNFRSF9
UTS2
ANGPTL7
C1orf127
CASZ1
CLSTN1
CORT
CTNNBIP1
DFFA
EXOSC10
KIF1B
LZIC
MASP2
MTOR
NMNAT1
PEX14
PGD
PIK3CD
RBP7
SLC25A33
SRM
TARDBP
TMEM201
UBE4B
UBIAD1
FBXO2
AGTRAP
CLCN6
FBXO44
FBXO6
KIAA2013
MAD2L2
MFN2
MIIP
MTHFR
NPPA
NPPB
PLOD1
TNFRSF1B
TNFRSF8
VPS13D
AADACL4
DHRS3
AADACL3
HNRNPCL1
PRAMEF10
PRAMEF11
PRAMEF12
PRAMEF1
PRAMEF2
PRAMEF4
PRAMEF7
PRAMEF8
PRAMEF6
PRAMEF5
PRAMEF14
PRAMEF9
PRAMEF18
PRAMEF19
PRAMEF20
PRAMEF25
PRAMEF17
LRRC38
PDPN
PRDM2
KAZN
TMEM51
CELA2A
CELA2B
CTRC
EFHD2
FHAD1
AGMAT
CASP9
CLCNKA
CLCNKB
DDI2
DNAJC16
FBLIM1
HSPB7
PLEKHM2
RSC1A1
SLC25A34
SPEN
TMEM82
UQCRHL
ZBTB17
FAM131C
ARHGEF19
EPHA2
FBXO42
NBPF1
NECAP2
SPATA21
CROCC
ATP13A2
MFAP2
PADI2
SDHB
PADI1
ARHGEF10L
PADI3
PADI4
PADI6
RCC2
ACTL8
ALDH4A1
IGSF21
KLHDC7A
PAX7
TAS1R2
AKR7A2
AKR7A3
CAPZB
IFFO2
MRTO4
UBR4
HTR6
NBL1
OTUD3
PLA2G2E
RNF186
TMCO4
PLA2G2A
CAMK2N1
CDA
FAM43B
MUL1
PINK1
PLA2G2C
PLA2G2D
PLA2G2F
PLA2G5
UBXN10
VWA5B1
DDOST
HP1BP3
KIF17
SH2D5
ALPL
ECE1
EIF4G3
NBPF3
RAP1GAP
USP48
CELA3A
CELA3B
HSPG2
LDLRAD2
CDC42
WNT4
ZBTB40
C1QA
C1QB
C1QC
EPHA8
EPHB2
KDM1A
LUZP1
HTR1D
HNRNPR
ZNF436
ASAP3
CNR2
E2F2
FUCA1
GALE
HMGCL
ID3
IL22RA1
LYPLA2
MDS2
MYOM3
PITHD1
PNRC2
RPL11
SRSF10
TCEA3
GRHL3
CLIC4
NIPAL3
RCAN3
RUNX3
SRRM1
SYF2
RHD
TMEM50A
RHCE
EXTL1
LDLRAP1
MAN1C1
PAFAH2
PAQR7
PDIK1L
SLC30A2
STMN1
TRIM63
CATSPER4
CEP85
CNKSR1
FAM110D
SH3BGRL3
UBXN11
ZNF593
CD52
ARID1A
DHDDS
GPATCH3
GPN2
HMGN2
LIN28A
NR0B2
NUDC
PIGV
RPS6KA1
SFN
ZDHHC18
ZNF683
TRNP1
AHDC1
CD164L2
DNAJC8
EYA3
FAM76A
FCN3
FGR
GPR3
IFI6
MAP3K6
PPP1R8
PTAFR
RPA2
SLC9A1
SMPDL3B
STX12
SYTL1
TMEM222
WASF2
WDTC1
XKR8
MED18
SESN2
PHACTR4
RAB42
RCC1
TRNAU1AP
TAF12
GMEB1
YTHDF2
OPRD1
EPB41
MECR
SRSF4
TMEM200B
PTPRU
MATN1
LAPTM5
NKAIN1
PUM1
SDC3
SNRNP40
FABP3
SERINC2
TINAGL1
ZCCHC17
HCRTR1
AK2
BSDC1
CCDC28B
COL16A1
DCDC2B
EIF3I
FAM167B
FNDC5
HDAC1
HPCA
IQCC
KHDRBS1
KIAA1522
KPNA6
LCK
MARCKSL1
PEF1
PTP4A2
RBBP4
RNF19B
S100PBP
SPOCD1
SYNC
TMEM234
TMEM39B
TMEM54
TSSK3
TXLNA
ZBTB8A
ZBTB8B
ZBTB8OS
TRIM62
ZNF362
PHC2
ZSCAN20
C1orf94
CSMD2
HMGB4
GJB5
GJB4
GJB3
GJA4
DLGAP3
ZMYM6
ZMYM1
SFPQ
C1orf216
CLSPN
KIAA0319L
NCDN
PSMB2
TFAP2E
ZMYM4
COL8A2
MAP7D1
SH3D21
STK40
TEKT2
THRAP3
TRAPPC3
LSM10
CSF3R
MRPS15
OSCP1
GRIK3
ZC3H12A
MEAF6
SNIP1
C1orf109
C1orf122
CDCA8
DNALI1
EPHA10
FHL3
GNL2
INPP5B
MANEAL
MTF1
POU3F1
RSPO1
SF3A3
YRDC
RRAGC
AKIRIN1
GJA9
MACF1
MYCBP
NDUFS5
RHBDL2
BMP8A
BMP8B
HEYL
HPCAL4
NT5C1A
OXCT2
PABPC4
PPIE
TRIT1
MFSD2A
CAP1
PPT1
RLF
COL9A2
SMAP2
TMCO2
ZMPSTE24
ZNF684
CITED4
KCNQ4
NFYC
RIMS3
SCMH1
SLFNL1
EDN2
FOXJ3
GUCA2A
GUCA2B
HIVEP3
RIMKLA
C1orf210
C1orf50
CCDC30
CDC20
CLDN19
EBNA1BP2
ELOVL1
ERMAP
FAM183A
HYI
KDM4A
MED8
MPL
PPCS
PPIH
PTPRF
SLC2A1
SZT2
TIE1
TMEM125
YBX1
ZMYND12
ZNF691
ARTN
ST3GAL3
ATP6V0B
B4GALT2
CCDC24
DMAP1
DPH2
ERI3
IPO13
KLF17
RNF220
SLC6A9
TMEM53
KIF2C
BEST4
BTBD19
EIF2B3
HECTD3
HPDL
MUTYH
PLK3
PTCH2
RPS8
TESK2
TOE1
UROD
ZSWIM5
AKR1A1
CCDC17
GPBP1L1
IPP
MMACHC
NASP
PRDX1
TMEM69
MAST2
LURAP1
PIK3R3
