source	target	source name	target name	value	type	source layer	target layer
24	4721	ABCG4_mut	R-HSA-1369062	0.003014941896253731	1	0	1
25	4721	ABCG5_mut	R-HSA-1369062	0.003746317941275063	0	0	1
25	4721	ABCG5_mut	R-HSA-1369062	0.003728389344663204	1	0	1
25	4568	ABCG5_mut	R-HSA-9029569	0.003746317941275063	0	0	1
25	4568	ABCG5_mut	R-HSA-9029569	0.003728389344663204	1	0	1
26	3974	ABL1_mut	R-HSA-195258	0.0011578152221368833	0	0	1
26	3974	ABL1_mut	R-HSA-195258	0.0010980563345381394	1	0	1
26	4003	ABL1_mut	R-HSA-2029482	0.0011578152221368833	0	0	1
26	4003	ABL1_mut	R-HSA-2029482	0.0010980563345381394	1	0	1
26	4130	ABL1_mut	R-HSA-376176	0.0011578152221368833	0	0	1
26	4130	ABL1_mut	R-HSA-376176	0.0010980563345381394	1	0	1
26	4621	ABL1_mut	R-HSA-9664407	0.0011578152221368833	0	0	1
26	4621	ABL1_mut	R-HSA-9664407	0.0010980563345381394	1	0	1
27	4130	ABL2_mut	R-HSA-376176	0.011610425352248259	0	0	1
27	4130	ABL2_mut	R-HSA-376176	0.011366729026324011	1	0	1
27	4551	ABL2_mut	R-HSA-9012999	0.011610425352248259	0	0	1
27	4551	ABL2_mut	R-HSA-9012999	0.011366729026324011	1	0	1
28	4124	ABLIM2_mut	R-HSA-373752	0.005068883521340063	0	0	1
28	4124	ABLIM2_mut	R-HSA-373752	0.004907593367129771	1	0	1
29	4124	ABLIM3_mut	R-HSA-373752	0.0017156794892798644	0	0	1
29	4124	ABLIM3_mut	R-HSA-373752	0.0016610869841113323	1	0	1
30	4010	ACAA1_mut	R-HSA-2046104	0.012816043906948633	0	0	1
30	4010	ACAA1_mut	R-HSA-2046104	0.012557115163266038	1	0	1
30	4156	ACAA1_mut	R-HSA-390918	0.012816043906948633	0	0	1
30	4156	ACAA1_mut	R-HSA-390918	0.012557115163266038	1	0	1
30	4977	ACAA1_mut	R-HSA-6798695	0.012816043906948633	0	0	1
30	4977	ACAA1_mut	R-HSA-6798695	0.012557115163266038	1	0	1
31	4747	ACACB_mut	R-HSA-163765	0.01653601818381705	0	0	1
31	4747	ACACB_mut	R-HSA-163765	0.016102488628045347	1	0	1
31	3910	ACACB_mut	R-HSA-1655829	0.01653601818381705	0	0	1
31	3910	ACACB_mut	R-HSA-1655829	0.016102488628045347	1	0	1
31	3981	ACACB_mut	R-HSA-196780	0.01653601818381705	0	0	1
31	3981	ACACB_mut	R-HSA-196780	0.016102488628045347	1	0	1
31	3992	ACACB_mut	R-HSA-200425	0.01653601818381705	0	0	1
31	3992	ACACB_mut	R-HSA-200425	0.016102488628045347	1	0	1
32	4473	ACAD10_mut	R-HSA-77289	0.0010054392649989394	0	0	1
32	4473	ACAD10_mut	R-HSA-77289	0.0009790793099253075	1	0	1
33	4473	ACADL_mut	R-HSA-77289	0.0025238460228946577	0	0	1
33	4473	ACADL_mut	R-HSA-77289	0.0024576776559115387	1	0	1
34	4999	ACAT1_mut	R-HSA-70895	0.001124120069612723	0	0	1
34	4999	ACAT1_mut	R-HSA-70895	0.001094648703252056	1	0	1
34	4472	ACAT1_mut	R-HSA-77111	0.001124120069612723	0	0	1
34	4472	ACAT1_mut	R-HSA-77111	0.001094648703252056	1	0	1
35	4791	ACE2_mut	R-HSA-2022377	0.008323387359268963	0	0	1
35	4791	ACE2_mut	R-HSA-2022377	0.0077702432382567264	1	0	1
35	4639	ACE2_mut	R-HSA-9678108	0.008323387359268963	0	0	1
35	4639	ACE2_mut	R-HSA-9678108	0.0077702432382567264	1	0	1
35	4644	ACE2_mut	R-HSA-9694516	0.008323387359268963	0	0	1
35	4644	ACE2_mut	R-HSA-9694516	0.0077702432382567264	1	0	1
36	3880	ACHE_amp	R-HSA-1483206	0.003210222948028887	0	0	1
36	3880	ACHE_amp	R-HSA-1483206	0.003126059694396746	1	0	1
37	3880	ACHE_mut	R-HSA-1483206	0.002030335874021855	0	0	1
37	3880	ACHE_mut	R-HSA-1483206	0.0019771059317766535	1	0	1
38	4747	ACLY_mut	R-HSA-163765	0.0025217186695145857	0	0	1
38	4747	ACLY_mut	R-HSA-163765	0.0024802640748223187	1	0	1
38	4977	ACLY_mut	R-HSA-6798695	0.0025217186695145857	0	0	1
