Hugo_Symbol	Entrez_Gene_Id	Pt1	Pt10	Pt11	Pt12	Pt13	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt2	Pt20	Pt21	Pt22	Pt23	Pt24	Pt25	Pt26	Pt27	Pt28	Pt29	Pt3	Pt30	Pt31	Pt32	Pt33	Pt34	Pt35	Pt36	Pt37	Pt38	Pt4	Pt5	Pt6	Pt7	Pt9
POLK	51426	1	0	0	-1	0	-1	1	-1	0	0	-1	0	0	0	-1	0	1	1	-1	0	0	0	0	0	0	1	0	1	-1	-1	1	0	0	0	0	-1	1
POLL	27343	-1	-1	-1	0	-1	2	-1	0	0	-1	0	0	-1	-1	-1	0	0	-1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	-1	-1
POLM	27434	1	2	1	1	1	-1	1	1	1	1	1	0	0	2	0	1	1	0	2	0	0	2	1	1	2	1	1	1	0	0	0	0	1	-1	0	2	1
POLN	353497	0	-1	-1	0	0	0	-1	-1	0	0	-1	-1	0	-1	-1	0	-2	1	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	-2	1	-2	-1	-1
POLQ	10721	1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
POLR1A	25885	1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	1	0
POLR1B	84172	-1	2	-1	0	0	0	0	1	0	2	1	0	0	0	0	1	1	0	2	0	0	-2	-2	0	1	1	0	0	0	0	0	0	0	0	0	1	0
POLR1C	9533	1	-1	1	-1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	2	0	0	1	-2	1	0	1	-1	1	1	0	2	-1	1	2	0	-1	-1
POLR1D	51082	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	1	0	-1	2	0	1	1	0	0	1	0	0	1	0	0	0	1	2	1	-1	0
POLR1E	64425	-1	-2	-1	-1	-1	0	0	-1	0	0	-1	0	-1	-1	-1	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	0	-1	0	0	-2	-1	0	0	-1
POLR2A	5430	-1	0	-1	-1	0	-1	-1	-1	0	0	0	-2	-1	-1	0	0	0	0	-1	-2	0	0	0	0	-1	0	0	-1	-1	0	-2	-1	-2	-1	0	-1	0
POLR2B	5431	-1	-1	1	0	0	0	0	-1	0	0	-1	-1	0	-1	0	0	-2	1	0	0	0	0	0	0	-1	0	-1	0	-1	-1	0	0	-2	1	0	-1	0
POLR2C	5432	0	0	-1	0	0	0	-1	0	0	1	-1	0	-1	0	0	-1	1	-1	0	0	0	-2	-2	0	0	0	-1	-1	-1	0	0	0	0	1	0	-1	0
POLR2D	5433	-1	2	-1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	2	0	0	-2	-2	0	1	1	0	0	0	0	0	0	0	0	0	1	0
POLR2E	5434	-1	1	-1	0	0	2	-2	1	-2	1	0	0	0	0	0	-1	1	0	-1	0	0	1	0	0	-1	1	-1	0	-1	0	0	-1	0	1	0	1	0
POLR2F	5435	1	2	1	1	0	0	1	1	1	2	1	0	0	0	0	0	1	-1	2	0	0	1	1	0	1	2	0	1	2	0	0	-1	1	1	1	1	0
POLR2G	5436	-1	0	-1	-1	0	0	-1	0	0	-1	-1	-2	-1	-1	0	-1	0	-1	0	0	0	0	0	0	-1	0	-1	-1	0	0	1	0	0	-1	0	-1	-1
POLR2H	5437	-1	1	0	-1	0	2	1	1	0	2	1	-1	1	0	0	0	1	-1	0	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
POLR2I	5438	0	0	-1	0	0	0	1	-1	0	1	1	0	0	0	0	0	0	1	-1	0	0	1	0	0	0	1	0	0	-1	0	0	-1	0	1	0	1	0
POLR2J	5439	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
POLR2J2	246721	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
POLR2J3	548644	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
POLR2J4	84820	1	2	1	1	1	-1	1	1	1	1	1	0	0	2	0	1	1	0	2	0	0	2	1	1	2	1	1	1	0	0	0	0	1	-1	0	2	1
POLR2K	5440	0	2	0	1	2	-1	0	0	1	1	-1	0	2	-1	1	1	1	1	-1	0	0	1	1	0	0	2	-1	2	-1	0	1	0	1	0	0	-1	1
POLR2L	5441	-1	0	-1	-1	0	0	-1	0	0	0	-1	-2	-1	-1	0	-1	0	-1	2	0	0	1	0	0	0	0	-1	-1	-1	0	1	1	0	0	1	2	0
POLR2M	81488	0	-1	1	1	0	-1	-1	0	0	1	1	-1	0	0	0	-1	0	0	-1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	2	0
POLR3A	11128	-1	-1	-1	0	-1	0	-1	0	0	-1	0	0	-1	-2	-1	0	0	-1	0	0	0	1	0	-1	0	-1	-1	-1	-2	-1	0	1	0	0	0	-1	-1
POLR3B	55703	1	0	0	1	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	-1	0
