Hugo_Symbol	Entrez_Gene_Id	Pt1	Pt10	Pt11	Pt12	Pt13	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt2	Pt20	Pt21	Pt22	Pt23	Pt24	Pt25	Pt26	Pt27	Pt28	Pt29	Pt3	Pt30	Pt31	Pt32	Pt33	Pt34	Pt35	Pt36	Pt37	Pt38	Pt4	Pt5	Pt6	Pt7	Pt9
A1BG	1	0	0	-1	0	0	0	1	-1	0	1	1	0	0	0	0	-1	-2	1	-1	0	0	1	0	0	-1	1	0	0	2	0	0	-1	0	1	0	1	0
A1BG-AS1	503538	0	0	-1	0	0	0	1	-1	0	1	1	0	0	0	0	-1	-2	1	-1	0	0	1	0	0	-1	1	0	0	2	0	0	-1	0	1	0	1	0
A1CF	29974	-1	-1	-1	0	-1	0	-1	0	0	-1	0	0	-1	-2	-1	0	0	0	0	0	0	1	-2	0	-1	-1	-1	-1	0	-1	0	1	0	0	0	-1	-1
A2LD1	87769	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	1	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	1	2	1	-1	0
A2M	2	1	0	1	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-2	0	0	0	0	2	0
A2ML1	144568	1	0	1	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-2	0	0	0	0	2	0
A2MP1	3	1	0	1	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-2	0	0	0	0	2	0
A4GALT	53947	1	2	1	1	0	2	1	1	1	2	1	0	0	0	0	0	1	-1	2	0	0	1	1	0	1	2	0	1	2	0	0	-1	1	1	1	1	0
A4GNT	51146	-1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
AA06	100506677	-1	1	1	-1	0	0	-1	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	-1	1	-1	-2	-1	-1
AAA1	404744	1	2	1	1	1	-1	1	1	1	1	1	1	0	2	0	1	1	0	2	0	0	2	1	1	2	1	1	1	0	0	0	0	1	-1	0	2	1
AAAS	8086	1	0	1	1	0	0	-1	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	0	-1	0	0	0	0	-1	0
AACS	65985	-1	0	0	1	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-2	0	0	0	0	-1	0
AACSP1	729522	1	0	0	-1	0	-1	1	-1	0	0	-1	0	-1	0	0	0	1	1	0	-2	0	0	1	0	0	-1	-1	-1	-1	-1	1	0	0	0	0	-1	1
AADAC	13	-1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
AADACL2	344752	-1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
AADACL3	126767	1	0	0	1	1	0	1	1	0	0	-1	-1	0	1	0	0	1	0	0	0	0	0	0	-1	1	1	-1	0	2	-1	0	0	-1	0	0	0	-1
AADACL4	343066	1	0	0	1	1	0	1	1	0	0	-1	-1	0	1	0	0	1	0	0	0	0	0	0	-1	1	1	-1	0	2	-1	0	0	-1	0	0	0	-1
AADAT	51166	-1	-1	-1	0	0	-1	0	-1	0	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	-2	1	0	-1	0
AAGAB	79719	0	-1	1	1	0	-1	-1	0	0	1	1	-1	0	0	0	-1	0	0	-1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	-1	0
AAK1	22848	1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	1	0
AAMP	14	1	2	-1	0	0	-1	-1	0	1	2	1	-1	0	0	0	0	1	1	2	0	0	-1	0	0	1	1	0	0	0	-1	0	0	0	0	0	1	0
AANAT	15	1	1	1	-1	0	0	-1	2	0	0	1	1	2	-1	0	0	0	0	-1	0	0	-2	1	0	1	2	0	1	0	0	2	-1	1	0	0	-1	-1
AARS	16	0	0	-1	0	0	0	-1	0	0	1	-1	0	-1	0	0	-1	1	-1	0	0	0	-2	-2	0	0	0	-1	-1	-1	0	1	0	0	1	0	-1	0
AARS2	57505	1	-1	1	-1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	2	0	0	1	-2	1	0	1	-1	1	1	0	0	0	1	2	0	-1	-1
AARSD1	80755	-1	1	1	-1	0	0	-1	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	-1	1	0	1	-1	-1
AASDH	132949	-1	-1	1	0	0	0	0	-1	0	0	-1	-1	0	-1	0	0	-2	1	0	0	0	0	0	0	-1	0	-1	0	-1	-1	0	0	-2	1	0	-1	0
AASDHPPT	60496	-1	0	-1	-1	0	2	1	0	0	-1	-1	-2	-1	-1	0	1	0	-1	-1	0	0	0	0	0	-1	0	-1	-2	-1	0	1	1	-2	-1	0	-1	0
AASS	10157	1	0	2	2	1	0	1	0	1	1	1	0	1	1	1	1	1	1	2	0	0	1	1	1	1	1	1	0	0	0	0	1	-1	-1	1	0	1
AATF	26574	-1	1	1	-1	0	0	-1	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	-1	1	-1	1	-1	-1
AATK	9625	1	1	1	-1	0	0	-1	2	0	0	1	1	2	-1	0	0	0	0	-1	0	0	-2	1	0	1	2	1	1	-1	0	2	-1	1	0	0	-1	-1
AATK-AS1	388428	1	1	1	-1	0	0	-1	2	0	0	1	1	2	-1	0	0	0	0	-1	0	0	-2	1	0	1	2	1	1	-1	0	2	-1	1	0	0	-1	-1
ABAT	18	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCA1	19	-1	1	-1	-1	0	0	0	-1	-2	0	-1	-1	0	-1	0	0	0	0	-1	0	0	1	0	1	0	-2	0	-1	-1	-1	0	0	1	-1	0	0	-1
ABCA10	10349	1	1	1	-1	0	0	-1	0	0	0	1	1	2	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ABCA11P	79963	0	-1	-1	0	0	0	-1	-1	0	0	-1	-1	0	-1	-1	0	-2	1	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	-2	1	-2	-1	-1
ABCA12	26154	1	2	-1	0	0	-1	0	0	1	2	1	-1	0	0	0	0	1	1	2	0	0	-1	0	0	1	1	0	0	0	-1	0	0	0	0	0	1	0
ABCA13	154664	1	2	1	1	1	-1	1	1	1	1	1	0	0	2	0	1	1	0	2	0	0	2	1	1	2	1	1	1	0	0	0	0	1	-1	0	2	1
ABCA17P	650655	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCA2	20	-1	1	-1	-1	0	2	-1	-1	0	0	-1	-1	0	-1	0	0	0	0	-2	0	0	1	0	0	0	-2	0	-1	-1	-1	0	0	1	-1	0	0	-2
ABCA3	21	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCA4	24	2	-1	-1	1	1	2	1	1	0	0	1	-1	0	0	0	0	1	0	2	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	-1	0	0	0	0
ABCA5	23461	1	1	1	-1	0	0	-1	0	0	0	1	1	2	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ABCA6	23460	1	1	1	-1	0	0	-1	0	0	0	1	1	2	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ABCA7	10347	-1	1	-1	0	0	2	-2	1	-2	1	0	0	0	0	0	-1	1	0	-1	0	0	1	0	0	-1	1	-1	0	-1	0	0	-1	0	1	0	1	0
ABCA8	10351	1	1	1	-1	0	0	-1	0	0	0	1	1	2	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ABCA9	10350	1	1	1	-1	0	0	-1	0	0	0	1	1	2	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ABCB1	5243	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	2	0	0	2	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
ABCB10	23456	-1	2	2	1	1	-1	1	0	1	0	1	1	2	0	1	-1	1	1	0	-2	0	0	1	1	0	1	0	1	-1	0	1	0	1	1	0	0	0
ABCB11	8647	-1	2	-1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	1	2	0	0	-2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
ABCB4	5244	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	2	0	0	2	1	1	1	1	1	0	0	0	0	1	1	-1	1	0	1
ABCB5	340273	1	2	1	1	1	-1	1	1	1	1	1	1	0	2	0	1	1	0	2	0	0	2	1	1	2	1	1	1	0	0	0	0	1	-1	0	2	1
ABCB6	10058	1	2	-1	0	0	-1	-1	0	1	2	1	-1	0	0	0	0	1	1	2	0	0	-1	0	0	1	1	0	0	0	-1	0	0	0	0	0	1	0
ABCB8	11194	1	0	1	2	1	0	1	0	1	1	1	0	1	1	2	1	1	1	2	0	0	1	1	1	1	1	1	0	0	0	0	1	1	-1	1	-1	1
ABCB9	23457	-1	0	0	1	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-2	0	0	0	0	-1	0
ABCC1	4363	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCC10	89845	1	-1	1	-1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	2	0	0	1	-2	1	0	1	-1	1	1	0	2	-1	1	2	0	-1	-1
ABCC11	85320	0	0	-1	0	0	-1	-1	0	0	1	-1	0	-1	0	0	-1	1	-1	0	0	0	-2	-2	0	0	0	-1	-1	-1	0	0	0	0	1	0	-1	0
ABCC12	94160	0	0	-1	0	0	-1	-1	0	0	1	-1	0	-1	0	0	-1	1	-1	0	0	0	-2	-2	0	0	0	-1	-1	-1	0	0	0	0	1	0	-1	0
ABCC13	150000	1	2	-1	0	0	-1	1	1	0	0	0	0	-1	0	0	1	0	-1	0	-2	0	1	0	0	-1	0	0	0	-1	0	1	0	1	1	1	-1	1
ABCC2	1244	-1	-1	-1	0	-1	2	-1	0	0	-1	0	0	-1	-1	-1	0	0	-1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	-1	-1
ABCC3	8714	-1	1	1	-1	0	0	-1	0	0	0	1	0	0	-1	0	0	0	0	-1	0	0	0	1	0	1	1	0	1	0	0	1	-1	1	0	0	-1	-1
ABCC4	10257	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	1	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	1	2	1	-1	0
ABCC5	10057	-1	1	0	-1	0	2	1	1	0	2	1	-1	1	0	0	0	1	-1	0	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
ABCC6	368	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCC6P1	653190	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	0	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCC6P2	730013	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
ABCC8	6833	-1	0	-1	-1	0	0	0	0	0	-1	-1	-2	1	-1	0	-1	0	-1	2	0	0	1	0	0	0	0	-1	-1	-1	0	1	1	0	0	1	2	0
ABCC9	10060	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	-2	0	0	0	0	2	0
ABCD2	225	1	0	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	2	0	-2	0	0	0	0	-1	0
ABCD3	5825	2	-1	-1	1	1	2	1	1	0	0	1	-1	0	0	0	0	1	0	2	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	-1	0	0	0	0
ABCD4	5826	-1	-1	1	0	0	-1	-1	0	0	1	0	0	0	-1	0	-1	0	-2	-1	0	0	0	0	0	0	1	0	-2	0	0	0	-1	0	0	1	-1	0
ABCE1	6059	-1	-1	-1	0	0	-1	0	-1	0	0	0	-1	0	-1	0	0	-2	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	-2	1	0	-1	0
ABCF1	23	1	-1	1	-1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	-1	0	0	1	-2	1	0	1	1	1	1	0	2	-1	1	2	1	-1	-1
ABCF2	10061	1	0	1	2	1	0	1	0	1	1	1	0	1	1	2	1	1	1	2	0	0	1	1	1	1	1	1	0	0	0	0	1	1	-1	1	-1	1
ABCF3	55324	-1	1	0	-1	0	2	1	1	0	2	1	-1	1	0	0	0	1	-1	0	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
ABCG1	9619	1	2	-1	0	0	-1	0	1	0	0	0	0	-1	0	0	0	0	-1	-1	-2	0	1	0	0	-1	0	0	0	-1	0	0	0	-2	1	1	-1	0
ABCG2	9429	-1	-1	-1	0	0	-1	0	-1	0	0	-1	-1	0	-1	0	0	-2	-1	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	-2	1	0	-1	0
ABCG4	64137	-1	0	-1	-1	0	2	-2	0	-2	-1	-1	-2	-1	-1	0	-1	0	-1	-2	0	0	0	0	0	-1	0	-1	-2	-1	0	-2	1	-2	-1	0	-1	-1
ABCG5	64240	1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	-1	0	1	0
ABCG8	64241	1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	-1	0	1	0
ABHD1	84696	1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	-1	0	1	0
ABHD10	55347	1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
ABHD11	83451	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	2	1	1	1	1	1	0	0	0	0	0	1	-1	1	0	1
ABHD11-AS1	171022	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	2	1	1	1	1	1	0	0	0	0	0	1	-1	1	0	1
ABHD12	26090	0	2	1	1	0	2	1	-1	1	2	1	-1	1	0	1	-1	1	1	0	0	0	1	0	1	0	1	1	1	2	0	0	0	1	1	0	2	1
ABHD12B	145447	-1	-1	1	0	0	-1	-1	0	0	1	0	0	0	-1	0	1	0	-1	-1	0	0	0	0	0	0	1	0	-2	0	0	0	-1	0	0	1	-1	0
ABHD13	84945	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	1	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	1	2	1	-1	0
ABHD14A	25864	1	1	-1	0	0	0	1	1	0	2	1	-1	1	0	-1	0	1	0	0	0	0	1	1	0	0	-1	1	0	-1	-1	0	0	1	0	0	1	0
ABHD14A-ACY1	100526760	1	1	-1	0	0	0	1	1	0	2	1	-1	1	0	-1	0	1	0	0	0	0	1	1	0	0	-1	1	0	-1	-1	0	0	1	0	0	1	0
ABHD14B	84836	1	1	-1	0	0	0	1	1	0	2	1	-1	1	0	-1	0	1	0	0	0	0	1	1	0	0	-1	1	0	-1	-1	0	0	1	0	0	1	0
ABHD15	116236	-1	1	1	-1	0	0	-1	-1	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	-1	1	-1	-2	-1	-1
ABHD16A	7920	1	-1	1	-1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	-1	0	0	1	-2	1	0	1	1	1	1	0	2	-1	1	2	1	-1	-1
ABHD16B	140701	1	2	1	1	0	2	1	2	1	2	1	-1	1	-1	1	0	2	1	-1	0	0	1	0	1	0	1	1	1	2	0	0	0	1	1	0	2	0
ABHD2	11057	1	-1	1	1	0	-1	-1	0	0	1	1	-1	0	0	0	-1	-2	0	-1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	-1	0
ABHD3	171586	-1	0	0	1	0	-1	0	-1	0	-1	-1	1	-1	-1	0	0	1	1	0	0	0	1	0	1	0	1	-1	0	0	-1	0	0	0	0	1	-1	0
ABHD4	63874	-1	-1	1	0	0	-1	-1	0	0	1	-1	0	0	-1	0	-1	0	-1	-1	0	0	0	0	0	0	1	0	-1	0	0	0	-1	0	0	1	-1	0
ABHD5	51099	1	1	-1	0	0	0	1	1	0	1	1	-1	1	0	-1	0	1	0	2	0	0	1	1	0	0	-1	1	0	-1	-1	0	0	1	0	0	1	-1
ABHD6	57406	1	1	-1	0	0	0	1	1	0	2	1	-1	1	0	0	0	1	0	0	0	0	1	1	0	0	-1	1	0	-1	-1	0	0	1	0	0	1	0
ABHD8	79575	-1	1	-1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	-1	0	0	1	0	0	0	1	0	0	-1	0	0	-1	0	1	0	1	0
ABI1	10006	-1	-2	-1	0	-1	0	-1	-1	0	0	0	0	-1	-1	-1	-1	0	-1	0	0	0	1	-2	0	-1	-2	-1	-1	-1	-1	0	0	0	0	0	0	-1
ABI2	10152	1	2	-1	0	0	-1	0	0	1	2	1	0	0	0	0	0	1	1	2	0	0	-2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
ABI3	51225	-1	1	1	-1	0	0	-1	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	1	0	1	1	0	1	0	0	1	-1	1	0	0	-1	-1
ABI3BP	25890	1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
ABL1	25	-1	1	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	0	0	0	-2	0	0	1	0	0	0	-2	0	-1	-1	-1	0	0	1	-1	0	0	-2
ABL2	27	-1	2	1	1	1	-1	1	0	1	0	1	1	2	0	1	1	1	2	0	-2	0	0	1	1	1	1	0	1	-1	0	1	0	1	1	0	0	0
ABLIM1	3983	-1	-1	-1	0	-1	2	-1	0	0	-1	0	0	-1	-1	-1	0	0	-1	0	0	0	1	-2	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	-1	-1
ABLIM2	84448	0	-1	-1	0	0	0	-1	-1	0	0	-1	-1	0	-1	-1	0	-2	1	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	-2	1	-2	-1	-1
ABLIM3	22885	1	0	0	-1	0	-1	1	-1	0	0	-1	0	-1	0	0	0	1	1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	1	0	0	0	0	-1	1
ABO	28	-1	1	-1	-1	0	0	-1	-1	0	0	-1	-1	0	-1	0	0	0	0	-2	0	0	1	0	0	0	-2	0	-1	-1	-1	0	0	1	-1	0	0	-2
ABP1	26	1	0	1	2	1	0	1	0	1	1	1	0	1	1	2	1	1	1	2	0	0	1	1	1	1	1	1	0	0	0	0	1	1	-1	1	-1	1
ABR	29	-1	0	-1	-1	0	-1	-1	-1	0	0	0	-2	-1	-1	0	0	0	0	-1	-2	0	0	0	0	-1	0	0	-1	-1	0	-2	-1	-2	-1	0	-1	0
ABRA	137735	-1	2	0	1	2	-1	0	0	1	1	-1	0	2	-1	1	1	1	1	2	0	0	1	1	0	0	2	-1	2	-1	0	1	0	1	0	0	-1	1
ABT1	29777	1	-1	1	-1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	-2	1	0	1	1	1	1	0	2	-1	1	2	1	-1	-1
ABTB1	80325	1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
ABTB2	25841	-1	0	-1	-1	0	0	0	0	0	-1	-1	-2	1	-1	0	-1	0	-1	0	0	0	-2	0	0	0	0	-1	-1	0	0	1	1	0	0	1	2	0
ACAA1	30	1	1	-1	0	0	0	1	1	0	1	1	-1	1	0	-1	0	1	0	2	0	0	1	1	0	0	-1	1	0	-1	-1	0	0	2	0	0	1	0
ACAA2	10449	-1	0	0	1	0	-1	0	-1	0	-1	-1	1	-1	-1	0	0	1	1	0	0	0	1	0	1	0	1	-1	0	0	-1	0	0	0	0	1	-1	1
ACACA	31	-1	1	1	-1	0	0	-1	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	-1	1	-1	1	-1	-1
ACACB	32	-1	0	0	1	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	-1	0
ACAD10	80724	-1	0	0	1	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	-1	0
ACAD11	84129	1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
ACAD8	27034	-1	0	-1	-1	0	2	-2	0	-2	-1	-1	-1	-1	-1	0	-1	0	-1	-1	0	0	0	0	0	-1	0	-1	-2	-1	0	1	1	-2	-1	0	-1	0
ACAD9	28976	1	1	0	-1	0	0	1	1	0	2	1	-1	1	0	0	0	1	-1	2	0	0	1	1	0	0	-1	1	0	1	-1	0	0	1	0	0	1	0
ACADL	33	1	2	-1	0	0	-1	0	0	1	2	1	0	0	0	0	0	1	1	2	0	0	-1	0	0	1	1	0	0	0	-1	0	0	0	0	0	1	0
ACADM	34	2	-1	-1	1	1	2	1	1	0	0	1	-1	0	1	0	0	1	0	2	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	-1	0	0	0	0
ACADS	35	-1	0	0	1	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-2	0	0	0	0	-1	0
ACADSB	36	-1	-2	-1	0	-1	-1	-1	0	0	-1	0	0	-1	-1	-1	0	0	-1	0	0	0	1	-2	-1	-1	-1	-1	-1	-1	-1	0	1	0	0	0	-1	-1
ACADVL	37	-1	0	-1	-1	0	-1	-1	-1	0	0	0	-2	-1	-1	0	0	0	0	-1	-2	0	0	0	0	-1	0	0	-1	-1	0	-2	-1	-2	-1	0	-1	0
ACAN	176	1	-1	1	1	0	-1	-1	0	0	1	1	-1	0	0	0	-1	-2	0	-1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	-1	0
ACAP1	9744	-1	0	-1	-1	0	-1	-1	-1	0	0	0	-2	-1	-1	0	0	0	0	-1	-2	0	0	0	0	-1	0	0	-1	-1	0	-2	-1	-2	-1	0	-1	0
ACAP2	23527	-1	1	0	-1	0	2	1	1	0	2	1	-1	1	0	0	0	1	-1	0	0	0	1	1	0	0	-1	0	0	1	-1	0	0	1	0	0	1	0
ACAP3	116983	2	0	0	1	1	0	-2	1	0	0	-1	-1	0	1	0	0	1	0	0	0	0	0	0	-1	1	1	-1	0	2	-1	0	0	-1	0	0	0	-1
ACAT1	38	-1	0	-1	-1	0	2	0	0	-2	-1	-1	-2	-1	-1	0	1	0	-1	-2	0	0	0	0	0	-1	0	-1	-2	-1	0	-2	1	-2	-1	0	-1	-1
ACAT2	39	-1	-1	-1	-1	0	0	0	0	0	0	-1	-1	-1	0	-1	-1	0	-1	2	0	0	-1	-2	-1	0	-1	0	-1	-1	0	0	0	-2	-1	0	-1	0
ACBD3	64746	-1	2	2	1	1	-1	1	0	1	0	1	1	2	0	1	-1	1	1	0	-2	0	0	1	1	0	1	0	1	-1	0	1	0	1	1	0	0	0
ACBD4	79777	-1	1	1	-1	0	0	-1	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	1	1	0	1	0	0	1	-1	1	0	1	-1	-1
ACBD5	91452	-1	-2	-1	0	-1	0	-1	-1	0	0	0	0	-1	-1	-1	-1	0	-1	0	0	0	1	-2	0	-1	-2	-1	-1	-1	-1	0	0	0	0	0	0	-1
ACBD6	84320	-1	2	1	1	1	-1	1	0	1	0	1	1	2	0	1	1	1	2	0	-2	0	0	1	1	2	1	0	1	-1	0	1	0	1	1	0	0	0
ACBD7	414149	-1	-1	-1	0	-1	0	-1	-1	0	0	0	0	-1	-1	-1	0	0	-1	0	0	0	1	-2	0	-1	-1	-1	1	-1	-1	0	0	0	0	0	0	-1
ACCN1	40	-1	1	1	-1	0	0	-1	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	-1	1	-1	-2	-1	-1
ACCN2	41	1	0	1	1	0	0	-1	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	2	0	-1	0	0	0	0	-1	0
ACCN3	9311	1	0	1	2	1	0	1	0	1	1	1	0	1	1	2	1	1	1	2	0	0	1	1	1	1	1	1	0	0	0	0	1	1	-1	1	-1	1
ACCN4	55515	1	2	-1	0	0	-1	-1	0	1	2	1	-1	0	0	0	0	1	1	2	0	0	-1	0	0	1	1	0	0	0	-1	0	0	0	0	0	1	0
ACCN5	51802	-1	-1	-1	0	0	-1	0	-1	0	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	-2	1	0	-1	0
ACCS	84680	-1	0	-1	-1	0	0	0	0	0	-1	-1	-2	-1	-1	0	-1	0	-1	0	0	0	-2	0	0	0	0	-1	-1	0	0	1	1	0	0	0	2	0
ACCSL	390110	-1	0	-1	-1	0	0	0	0	0	-1	-1	-2	-1	-1	0	-1	0	-1	0	0	0	-2	0	0	0	0	-1	-1	0	0	1	1	0	0	0	2	0
ACD	65057	0	0	-1	0	0	0	-1	0	0	1	-1	0	-1	0	0	-1	1	-1	0	0	0	-2	-2	0	0	0	-1	-1	-1	0	1	0	0	1	0	-1	0
ACE	1636	1	1	1	-1	0	0	-1	0	0	0	1	1	0	-1	0	0	0	0	-1	0	0	2	1	0	1	2	0	1	0	0	1	-1	1	0	0	-1	-1
ACER1	125981	-1	1	-1	0	0	2	1	1	-2	1	0	0	0	0	0	0	1	0	-1	0	0	1	0	0	0	1	-1	0	-1	0	0	-1	0	1	0	1	0
ACER2	340485	-1	-1	-1	-1	-2	2	0	-1	0	0	-1	0	-1	-1	-1	0	0	-1	0	0	0	0	0	-1	-1	-1	-1	-1	0	-1	0	0	-2	-1	0	0	-1
